"filename", "language", "JSON", "Markdown", "JavaScript", "JSON with Comments", "HTML", "TypeScript", "SCSS", "XML", "CSS", "comment", "blank", "total"
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/administration/components/administration/administration.component.ts", "TypeScript", 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 5, 18
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/core/authguard/authguard.authgard.ts", "TypeScript", 0, 0, 0, 0, 0, 29, 0, 0, 0, 22, 10, 61
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/core/components/footer/footer.component.html", "HTML", 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/core/components/footer/footer.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 4, 10
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/core/components/footer/footer.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 6, 27
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/core/components/footer/footer.component.ts", "TypeScript", 0, 0, 0, 0, 0, 10, 0, 0, 0, 6, 5, 21
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/core/components/header/header.component.html", "HTML", 0, 0, 0, 0, 56, 0, 0, 0, 0, 4, 3, 63
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/core/components/header/header.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 149, 0, 0, 5, 70, 224
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/core/components/header/header.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 6, 27
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/core/components/header/header.component.ts", "TypeScript", 0, 0, 0, 0, 0, 116, 0, 0, 0, 56, 43, 215
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/core/components/side-nav/side-nav.component.html", "HTML", 0, 0, 0, 0, 39, 0, 0, 0, 0, 0, 5, 44
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/core/components/side-nav/side-nav.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 25, 69
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/core/components/side-nav/side-nav.component.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 6, 28
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/core/components/side-nav/side-nav.component.ts", "TypeScript", 0, 0, 0, 0, 0, 15, 0, 0, 0, 9, 8, 32
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/core/interceptors/loading.interceptor.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 4, 19
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/core/interceptors/loading.interceptor.ts", "TypeScript", 0, 0, 0, 0, 0, 31, 0, 0, 0, 16, 9, 56
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/core/services/data-transfer.service.ts", "TypeScript", 0, 0, 0, 0, 0, 66, 0, 0, 0, 71, 25, 162
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/core/services/file.service.ts", "TypeScript", 0, 0, 0, 0, 0, 33, 0, 0, 0, 19, 15, 67
"/usr/local/projects/metadata-annotation/metadata-annotation-frontend/src/app/modules/core/services/keycloak.service.spec.ts", "TypeScript", 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 5, 17
